unidade_id,grupamento,vagas,referencia
0431801,maternal_2,25,2025-07-11
0431802,maternal_1,25,2025-07-11
0431802,maternal_1,25,2025-07-11
0431802,maternal_2,50,2025-07-11
0431802,maternal_2,50,2025-07-11
0431803,maternal_2,25,2025-07-11
0514009,maternal_2,50,2025-07-11
0514501,maternal_2,25,2025-07-11
0514601,maternal_1,25,2025-07-11
0514601,maternal_2,75,2025-07-11
0514602,bercario,50,2025-07-11
0514602,maternal_1,50,2025-07-11
0514602,maternal_2,50,2025-07-11
0514603,maternal_1,19,2025-07-11
0514603,maternal_2,35,2025-07-11
0514604,maternal_1,25,2025-07-11
0514604,maternal_2,25,2025-07-11
0514605,bercario,50,2025-07-11
0514605,maternal_1,50,2025-07-11
0514605,maternal_2,50,2025-07-11
0514606,bercario,40,2025-07-11
0514606,maternal_1,45,2025-07-11
0514606,maternal_2,50,2025-07-11
0514607,bercario,40,2025-07-11
0514607,bercario,40,2025-07-11
0514607,maternal_1,40,2025-07-11
0514607,maternal_1,40,2025-07-11
0514607,maternal_2,40,2025-07-11
0514607,maternal_2,40,2025-07-11
0514608,bercario,25,2025-07-11
0514608,maternal_1,50,2025-07-11
0514608,maternal_2,50,2025-07-11
0514609,bercario,16,2025-07-11
0514609,maternal_1,48,2025-07-11
0514609,maternal_2,25,2025-07-11
0514801,maternal_1,50,2025-07-11
0514801,maternal_2,73,2025-07-11
0514802,maternal_1,25,2025-07-11
0514802,maternal_2,25,2025-07-11
0514803,maternal_2,50,2025-07-11
0515015,maternal_2,25,2025-07-11
0515021,maternal_2,50,2025-07-11
0515046,maternal_2,50,2025-07-11
0515053,maternal_2,25,2025-07-11
0515064,maternal_2,25,2025-07-11
0515501,maternal_2,50,2025-07-11
0515503,maternal_2,25,2025-07-11
0515601,maternal_1,16,2025-07-11
0515601,maternal_2,32,2025-07-11
0515602,bercario,50,2025-07-11
0515602,maternal_1,50,2025-07-11
0515602,maternal_2,50,2025-07-11
0515604,bercario,50,2025-07-11
0515604,maternal_1,50,2025-07-11
0515604,maternal_2,50,2025-07-11
0515605,bercario,50,2025-07-11
0515605,maternal_1,50,2025-07-11
0515605,maternal_2,50,2025-07-11
0515606,bercario,25,2025-07-11
0515606,maternal_1,50,2025-07-11
0515606,maternal_2,50,2025-07-11
0515607,maternal_1,75,2025-07-11
0515607,maternal_2,50,2025-07-11
0515608,bercario,25,2025-07-11
0515608,maternal_1,25,2025-07-11
0515608,maternal_2,25,2025-07-11
0515610,maternal_1,25,2025-07-11
